index,event_starttime,event_peaktime,event_endtime,goes_class_ind,goes_class,goes_class_val,integrated_flux,noaa_ar,position_hgs,hgs_lat,hgs_lon,hpc_x,hpc_y,event_end,peak_hour,unique_day
195,2448,2015-05-08 09:37:00,2015-05-08 09:40:00,2015-05-08 09:42:00,C,C4.1,4.1e-06,4.9E-04,12339,N10E49,10.0,-49.0,-708.5116688588168,202.29699864671835,2015-05-08 09:42:00,9,2015-05-08
196,2456,2015-05-10 12:45:00,2015-05-10 13:03:00,2015-05-10 13:23:00,C,C2.2,2.2e-06,4.2E-03,12339,N13E18,13.0,-18.0,-287.2502852221951,263.90788307860754,2015-05-10 13:23:00,13,2015-05-10
197,2457,2015-05-10 17:04:00,2015-05-10 17:11:00,2015-05-10 17:19:00,C,C2.4,2.4e-06,1.6E-03,12339,N13E13,13.0,-13.0,-209.1190189109184,264.83463449288104,2015-05-10 17:19:00,17,2015-05-10
198,2463,2015-05-12 11:45:00,2015-05-12 11:51:00,2015-05-12 11:56:00,C,C3.0,3e-06,1.3E-03,12339,N09W06,9.0,6.0,98.4760432236648,198.09091820852183,2015-05-12 11:56:00,11,2015-05-12
199,2464,2015-05-13 09:40:00,2015-05-13 09:45:00,2015-05-13 10:04:00,C,C2.3,2.3e-06,2.5E-03,12339,N08W17,8.0,17.0,276.06078688339045,178.2299460523778,2015-05-13 10:04:00,9,2015-05-13
200,2465,2015-05-13 11:04:00,2015-05-13 11:11:00,2015-05-13 11:14:00,C,C3.2,3.2e-06,1.2E-03,12339,N09W33,9.0,33.0,512.6244943404639,188.74546661871355,2015-05-13 11:14:00,11,2015-05-13
201,2466,2015-05-13 18:09:00,2015-05-13 18:18:00,2015-05-13 18:38:00,C,C9.2,9.199999999999998e-06,1.2E-02,12345,N12W17,12.0,17.0,272.6412810473797,242.48354729809583,2015-05-13 18:38:00,18,2015-05-13
202,2467,2015-05-14 13:58:00,2015-05-14 14:08:00,2015-05-14 14:24:00,C,C2.8,2.8e-06,3.4E-03,12342,N18E01,18.0,-1.0,-15.82177770184353,338.0009460736852,2015-05-14 14:24:00,14,2015-05-14
203,2468,2015-05-14 16:17:00,2015-05-14 16:31:00,2015-05-14 16:41:00,C,C2.1,2.1e-06,2.4E-03,12339,N16W39,16.0,39.0,576.0914887605594,296.4161097658915,2015-05-14 16:41:00,16,2015-05-14
204,2469,2015-05-14 17:45:00,2015-05-14 17:53:00,2015-05-14 17:59:00,C,C4.8,4.8e-06,2.4E-03,12339,N09W50,9.0,50.0,720.1655273017357,177.7286751142392,2015-05-14 17:59:00,17,2015-05-14
205,2480,2015-06-05 17:24:00,2015-06-05 17:34:00,2015-06-05 17:45:00,C,C3.5,3.5e-06,3.2E-03,12361,N14E55,14.0,-55.0,-753.3626640061848,230.724903992664,2015-06-05 17:45:00,17,2015-06-05
206,2491,2015-06-11 08:49:00,2015-06-11 08:55:00,2015-06-11 08:59:00,M,M1.0,1e-05,3.4E-03,12367,S19E83,-19.0,-83.0,-887.062830659328,-308.72055970294537,2015-06-11 08:59:00,8,2015-06-11
207,2492,2015-06-11 11:25:00,2015-06-11 11:32:00,2015-06-11 11:50:00,C,C3.8,3.8e-06,4.1E-03,12367,S20E82,-20.0,-82.0,-879.6243295611348,-324.4518114701362,2015-06-11 11:50:00,11,2015-06-11
208,2493,2015-06-11 11:56:00,2015-06-11 12:01:00,2015-06-11 12:04:00,C,C4.5,4.5e-06,1.4E-03,12367,S20E82,-20.0,-82.0,-879.6220587568823,-324.45642777377145,2015-06-11 12:04:00,12,2015-06-11
209,2494,2015-06-11 14:30:00,2015-06-11 14:37:00,2015-06-11 14:41:00,C,C8.7,8.7e-06,3.2E-03,12367,S20E82,-20.0,-82.0,-879.6108082816936,-324.4793588803868,2015-06-11 14:41:00,14,2015-06-11
210,2495,2015-06-11 15:12:00,2015-06-11 15:19:00,2015-06-11 15:23:00,C,C7.0,7e-06,2.6E-03,12367,S20E82,-20.0,-82.0,-879.6077487545554,-324.4856123902646,2015-06-11 15:23:00,15,2015-06-11
211,2497,2015-06-11 17:18:00,2015-06-11 17:26:00,2015-06-11 17:30:00,C,C4.5,4.5e-06,1.9E-03,12367,S20E82,-20.0,-82.0,-879.5985928741284,-324.5043718354534,2015-06-11 17:30:00,17,2015-06-11
212,2503,2015-06-12 15:20:00,2015-06-12 15:34:00,2015-06-12 15:37:00,C,C3.9,3.9e-06,2.4E-03,12360,S21E69,-21.0,-69.0,-824.5341470935382,-342.75492116375096,2015-06-12 15:37:00,15,2015-06-12
213,2505,2015-06-13 09:38:00,2015-06-13 09:45:00,2015-06-13 09:49:00,C,C5.8,5.8e-06,2.3E-03,12360,N14W77,14.0,77.0,893.8820173228453,225.93391463386067,2015-06-13 09:49:00,9,2015-06-13
214,2509,2015-06-13 14:25:00,2015-06-13 14:37:00,2015-06-13 14:45:00,C,C4.9,4.9000000000000005e-06,3.8E-03,12360,N14W81,14.0,81.0,905.805251521628,226.6446769602214,2015-06-13 14:45:00,14,2015-06-13
215,2525,2015-06-18 13:05:00,2015-06-18 13:10:00,2015-06-18 13:15:00,C,C3.5,3.5e-06,1.4E-03,12371,N09E47,9.0,-47.0,-684.0746127106249,132.69013992408122,2015-06-18 13:15:00,13,2015-06-18
216,2528,2015-06-19 09:19:00,2015-06-19 09:27:00,2015-06-19 09:38:00,C,C8.1,8.099999999999999e-06,6.1E-03,12371,N13E39,13.0,-39.0,-580.8924673183355,194.45252895809344,2015-06-19 09:38:00,9,2015-06-19
217,2534,2015-06-21 09:38:00,2015-06-21 09:44:00,2015-06-21 09:50:00,M,M3.8,3.8e-05,1.6E-02,12367,S17W57,-17.0,57.0,758.8021224408108,-291.28592575160155,2015-06-21 09:50:00,9,2015-06-21
218,2537,2015-06-21 15:35:00,2015-06-21 16:40:00,2015-06-21 17:44:00,C,C2.6,2.6e-06,1.3E-02,12367,S18W64,-18.0,64.0,808.336843971152,-304.11912395942727,2015-06-21 17:44:00,16,2015-06-21
219,2538,2015-06-21 18:10:00,2015-06-21 18:20:00,2015-06-21 18:28:00,M,M1.1,1.1e-05,7.9E-03,12367,S18W65,-18.0,65.0,815.0328843862704,-303.7450952160515,2015-06-21 18:28:00,18,2015-06-21
220,2553,2015-07-02 15:23:00,2015-07-02 15:30:00,2015-07-02 15:39:00,C,C3.7,3.7e-06,2.3E-03,12376,N14E39,14.0,-39.0,-578.1611655224115,191.4043843435333,2015-07-02 15:39:00,15,2015-07-02
221,2555,2015-07-03 09:10:00,2015-07-03 09:19:00,2015-07-03 09:24:00,C,C3.4,3.4e-06,1.6E-03,12378,S17E69,-17.0,-69.0,-843.6081750206649,-293.2604991736744,2015-07-03 09:24:00,9,2015-07-03
222,2557,2015-07-03 12:47:00,2015-07-03 12:51:00,2015-07-03 12:53:00,M,M1.5,1.5000000000000002e-05,2.3E-03,12378,S17E67,-17.0,-67.0,-831.9087943551131,-294.96924778090744,2015-07-03 12:53:00,12,2015-07-03
223,2559,2015-07-06 08:24:00,2015-07-06 08:44:00,2015-07-06 08:59:00,M,M1.0,1e-05,1.2E-02,12381,N13E41,13.0,-41.0,-605.1870602611452,171.3168182172733,2015-07-06 08:59:00,8,2015-07-06
224,2562,2015-07-06 11:36:00,2015-07-06 11:42:00,2015-07-06 11:46:00,C,C5.7,5.7e-06,2.0E-03,12381,N14E39,14.0,-39.0,-578.146668252768,186.1429803803177,2015-07-06 11:46:00,11,2015-07-06
225,2566,2015-07-06 20:32:00,2015-07-06 20:40:00,2015-07-06 20:50:00,M,M1.7,1.7e-05,1.2E-02,12381,N13E34,13.0,-34.0,-516.0038980818354,166.58005481206644,2015-07-06 20:50:00,20,2015-07-06
226,2575,2015-07-18 14:28:00,2015-07-18 14:42:00,2015-07-18 14:52:00,C,C1.8,1.8e-06,1.8E-03,12388,N14W80,14.0,80.0,902.6436385028028,214.94732558841653,2015-07-18 14:52:00,14,2015-07-18
227,2577,2015-07-24 14:35:00,2015-07-24 14:44:00,2015-07-24 14:49:00,C,C2.0,2e-06,1.0E-03,12389,S13E67,-13.0,-67.0,-848.3223461997695,-244.28458275930424,2015-07-24 14:49:00,14,2015-07-24
228,2578,2015-07-24 17:49:00,2015-07-24 17:55:00,2015-07-24 18:00:00,C,C2.6,2.6e-06,9.4E-04,12389,S12E66,-12.0,-66.0,-845.2554090486374,-229.7845867719657,2015-07-24 18:00:00,17,2015-07-24
229,2584,2015-08-07 14:01:00,2015-08-07 14:49:00,2015-08-07 15:11:00,C,C1.8,1.8e-06,5.1E-03,12396,S17E10,-17.0,-10.0,-157.72110532177612,-372.64555751875423,2015-08-07 15:11:00,14,2015-08-07
230,2588,2015-08-07 18:53:00,2015-08-07 19:10:00,2015-08-07 19:24:00,C,C3.4,3.4e-06,5.0E-03,12396,S17E08,-17.0,-8.0,-126.41473297704944,-373.3929944902872,2015-08-07 19:24:00,19,2015-08-07
231,2589,2015-08-07 19:34:00,2015-08-07 19:41:00,2015-08-07 19:50:00,C,C5.4,5.4e-06,3.8E-03,12396,S17E08,-17.0,-8.0,-126.41524133924396,-373.42141507999867,2015-08-07 19:50:00,19,2015-08-07
232,2598,2015-08-21 09:34:00,2015-08-21 09:48:00,2015-08-21 10:07:00,M,M1.4,1.4e-05,1.8E-02,12403,S17E26,-17.0,-26.0,-398.9699265086092,-374.4787048255423,2015-08-21 10:07:00,9,2015-08-21
233,2602,2015-08-22 09:09:00,2015-08-22 09:21:00,2015-08-22 09:39:00,C,C5.1,5.1e-06,7.6E-03,12403,S12E20,-12.0,-20.0,-318.5561350057833,-302.1867730083088,2015-08-22 09:39:00,9,2015-08-22
234,2603,2015-08-22 10:21:00,2015-08-22 10:25:00,2015-08-22 10:31:00,C,C6.3,6.3e-06,2.4E-03,12403,S15E21,-15.0,-21.0,-329.5796905781608,-348.2990161225217,2015-08-22 10:31:00,10,2015-08-22
235,2604,2015-08-22 11:17:00,2015-08-22 11:34:00,2015-08-22 11:47:00,C,C3.4,3.4e-06,4.6E-03,12403,S18E19,-18.0,-19.0,-294.7964041410014,-395.4598578244016,2015-08-22 11:47:00,11,2015-08-22
236,2611,2015-08-23 11:15:00,2015-08-23 11:21:00,2015-08-23 11:26:00,C,C1.7,1.6999999999999998e-06,8.1E-04,12403,S16E07,-16.0,-7.0,-111.5884937432129,-370.9240214208036,2015-08-23 11:26:00,11,2015-08-23
237,2612,2015-08-23 18:56:00,2015-08-23 19:07:00,2015-08-23 19:27:00,C,C3.9,3.9e-06,5.9E-03,12403,S17E02,-17.0,-2.0,-31.79272349900566,-387.12196442397175,2015-08-23 19:27:00,19,2015-08-23
238,2621,2015-08-24 15:08:00,2015-08-24 15:13:00,2015-08-24 15:16:00,C,C5.8,5.8e-06,1.4E-03,12403,S17W06,-17.0,6.0,95.23853123903078,-387.0538128438581,2015-08-24 15:16:00,15,2015-08-24
239,2623,2015-08-24 17:40:00,2015-08-24 17:46:00,2015-08-24 17:49:00,M,M1.0,1e-05,2.7E-03,12403,S14W04,-14.0,4.0,64.49504564907326,-341.4028185064223,2015-08-24 17:49:00,17,2015-08-24
240,2628,2015-08-25 11:55:00,2015-08-25 11:59:00,2015-08-25 12:03:00,C,C2.3,2.3e-06,6.6E-04,12403,S17W18,-17.0,18.0,281.5525875053386,-382.6008345612398,2015-08-25 12:03:00,11,2015-08-25
241,2634,2015-08-26 13:41:00,2015-08-26 13:53:00,2015-08-26 14:20:00,C,C9.5,9.5e-06,1.6E-02,12403,S14W39,-14.0,39.0,581.5161021665299,-316.98063330552145,2015-08-26 14:20:00,13,2015-08-26
242,2643,2015-08-28 11:22:00,2015-08-28 11:44:00,2015-08-28 11:54:00,C,C5.3,5.299999999999999e-06,6.9E-03,12403,S14W67,-14.0,67.0,849.4813981578325,-272.98134689246626,2015-08-28 11:54:00,11,2015-08-28
243,2645,2015-08-28 13:04:00,2015-08-28 13:16:00,2015-08-28 13:23:00,M,M2.2,2.2000000000000003e-05,1.6E-02,12403,S14W66,-14.0,66.0,843.1323907375676,-274.84488398062774,2015-08-28 13:23:00,13,2015-08-28
244,2650,2015-08-28 18:56:00,2015-08-28 19:03:00,2015-08-28 19:06:00,M,M2.1,2.1e-05,4.7E-03,12403,S14W70,-14.0,70.0,867.0625466978531,-267.4110136748829,2015-08-28 19:06:00,19,2015-08-28
245,2658,2015-09-03 11:28:00,2015-09-03 11:37:00,2015-09-03 11:48:00,C,C1.7,1.6999999999999998e-06,1.4E-03,12407,N14W82,14.0,82.0,914.3548954072156,212.23596009816777,2015-09-03 11:48:00,11,2015-09-03
246,2662,2015-09-16 15:20:00,2015-09-16 15:28:00,2015-09-16 15:43:00,C,C3.0,3e-06,2.8E-03,12415,S20E03,-20.0,-3.0,-47.1140221899841,-437.5915591355148,2015-09-16 15:43:00,15,2015-09-16
247,2666,2015-09-17 09:34:00,2015-09-17 09:40:00,2015-09-17 09:45:00,M,M1.1,1.1e-05,4.6E-03,12415,S19W05,-19.0,5.0,78.96459358971464,-422.2825520198545,2015-09-17 09:45:00,9,2015-09-17
248,2675,2015-09-20 17:32:00,2015-09-20 18:03:00,2015-09-20 18:29:00,M,M2.1,2.1e-05,4.5E-02,12415,S22W50,-22.0,50.0,680.1202971349787,-426.5491146554304,2015-09-20 18:29:00,18,2015-09-20
249,2678,2015-09-23 14:41:00,2015-09-23 14:48:00,2015-09-23 14:54:00,C,C1.5,1.5e-06,7.8E-04,12422,S20E43,-20.0,-43.0,-614.445511155529,-406.05438689300087,2015-09-23 14:54:00,14,2015-09-23
250,2683,2015-09-27 10:20:00,2015-09-27 10:40:00,2015-09-27 10:46:00,M,M1.9,1.9e-05,9.8E-03,12422,S10W57,-10.0,57.0,792.2649846936649,-227.1215821415111,2015-09-27 10:46:00,10,2015-09-27
251,2685,2015-09-27 12:47:00,2015-09-27 12:52:00,2015-09-27 13:02:00,C,C2.4,2.4e-06,1.6E-03,12422,S20W13,-20.0,13.0,203.11236345438223,-431.80127453107866,2015-09-27 13:02:00,12,2015-09-27
252,2687,2015-09-27 13:41:00,2015-09-27 13:46:00,2015-09-27 13:51:00,C,C2.2,2.2e-06,9.2E-04,12422,S21W06,-21.0,6.0,93.7724907468664,-448.8840328830356,2015-09-27 13:51:00,13,2015-09-27
253,2688,2015-09-27 15:30:00,2015-09-27 15:38:00,2015-09-27 15:43:00,C,C5.4,5.4e-06,2.3E-03,12422,S20W15,-20.0,15.0,233.69136462871592,-430.8212555850742,2015-09-27 15:43:00,15,2015-09-27
254,2690,2015-09-27 16:39:00,2015-09-27 16:49:00,2015-09-27 16:55:00,C,C4.3,4.3e-06,2.6E-03,12422,S22W09,-22.0,9.0,139.37130316782938,-462.8271942875369,2015-09-27 16:55:00,16,2015-09-27
255,2691,2015-09-27 17:41:00,2015-09-27 17:46:00,2015-09-27 17:50:00,C,C4.2,4.2e-06,1.5E-03,12422,S20W16,-20.0,16.0,248.87828301630293,-430.2678076106587,2015-09-27 17:50:00,17,2015-09-27
256,2711,2015-09-30 10:49:00,2015-09-30 10:59:00,2015-09-30 11:13:00,M,M1.3,1.3e-05,1.4E-02,12422,S20W50,-20.0,50.0,691.2523774080666,-394.501768480153,2015-09-30 11:13:00,10,2015-09-30
257,2713,2015-09-30 13:18:00,2015-09-30 13:20:00,2015-09-30 13:21:00,M,M1.1,1.1e-05,1.6E-03,12422,S20W55,-20.0,55.0,738.9739833073755,-386.99775913825886,2015-09-30 13:21:00,13,2015-09-30
258,2717,2015-10-01 13:03:00,2015-10-01 13:10:00,2015-10-01 13:14:00,M,M4.5,4.5e-05,1.3E-02,12422,S20W60,-20.0,60.0,781.2284547341358,-378.84097477840953,2015-10-01 13:14:00,13,2015-10-01
259,2721,2015-10-02 11:37:00,2015-10-02 11:44:00,2015-10-02 11:54:00,C,C3.0,3e-06,2.2E-03,12422,S20W74,-20.0,74.0,866.5246917929954,-354.7484052100893,2015-10-02 11:54:00,11,2015-10-02
260,2722,2015-10-02 12:19:00,2015-10-02 12:26:00,2015-10-02 12:31:00,M,M1.0,1e-05,4.1E-03,12422,S20W73,-20.0,73.0,862.1260591946126,-356.52464299976384,2015-10-02 12:31:00,12,2015-10-02
261,2723,2015-10-02 13:31:00,2015-10-02 13:37:00,2015-10-02 13:49:00,C,C7.2,7.2e-06,5.4E-03,12422,S20W75,-20.0,75.0,870.6850007583475,-352.955691850786,2015-10-02 13:49:00,13,2015-10-02
262,2724,2015-10-02 15:26:00,2015-10-02 15:32:00,2015-10-02 15:37:00,C,C8.8,8.8e-06,3.3E-03,12422,S20W74,-20.0,74.0,866.5636046640641,-354.73596949646844,2015-10-02 15:37:00,15,2015-10-02
263,2725,2015-10-02 17:08:00,2015-10-02 17:18:00,2015-10-02 17:23:00,M,M1.0,1e-05,4.9E-03,12422,S21W78,-21.0,78.0,875.7975168723118,-362.9714418996765,2015-10-02 17:23:00,17,2015-10-02
264,2726,2015-10-02 17:55:00,2015-10-02 18:00:00,2015-10-02 18:03:00,C,C8.1,8.099999999999999e-06,2.3E-03,12422,S18W77,-18.0,77.0,888.8594868940623,-318.2035096572322,2015-10-02 18:03:00,18,2015-10-02
265,2730,2015-10-03 11:32:00,2015-10-03 11:39:00,2015-10-03 11:45:00,C,C2.7,2.7e-06,1.4E-03,12422,S17W77,-17.0,77.0,893.9623883285487,-302.43300857261386,2015-10-03 11:45:00,11,2015-10-03
266,2731,2015-10-03 13:02:00,2015-10-03 13:08:00,2015-10-03 13:14:00,C,C2.1,2.1e-06,9.7E-04,12422,S17W78,-17.0,78.0,897.3764047966953,-300.60375902405343,2015-10-03 13:14:00,13,2015-10-03
267,2737,2015-10-13 14:05:00,2015-10-13 14:11:00,2015-10-13 14:14:00,C,C9.5,9.5e-06,2.3E-03,12434,S09E80,-9.0,-80.0,-935.7523716115392,-166.94362704501853,2015-10-13 14:14:00,14,2015-10-13
268,2741,2015-10-15 10:42:00,2015-10-15 10:48:00,2015-10-15 10:52:00,C,C2.7,2.7e-06,9.3E-04,12434,S11E57,-11.0,-57.0,-793.7558783991262,-235.7799196958449,2015-10-15 10:52:00,10,2015-10-15
269,2744,2015-10-15 13:42:00,2015-10-15 13:49:00,2015-10-15 13:52:00,C,C3.6,3.6e-06,1.1E-03,12434,S11E55,-11.0,-55.0,-775.413380203303,-238.54045170408872,2015-10-15 13:52:00,13,2015-10-15
270,2745,2015-10-15 16:09:00,2015-10-15 16:17:00,2015-10-15 16:21:00,C,C2.2,2.2e-06,9.2E-04,12434,S11E54,-11.0,-54.0,-765.8919557211921,-239.86769610080856,2015-10-15 16:21:00,16,2015-10-15
271,2752,2015-10-16 12:44:00,2015-10-16 13:07:00,2015-10-16 13:19:00,C,C3.8,3.8e-06,4.6E-03,12434,S12E42,-12.0,-42.0,-631.8106686966494,-270.53354148008657,2015-10-16 13:19:00,13,2015-10-16
272,2754,2015-10-16 13:36:00,2015-10-16 13:42:00,2015-10-16 13:46:00,C,C4.2,4.2e-06,1.5E-03,12434,S11E41,-11.0,-41.0,-621.7237551945727,-255.45544625338093,2015-10-16 13:46:00,13,2015-10-16
273,2756,2015-10-17 12:31:00,2015-10-17 12:35:00,2015-10-17 12:39:00,C,C4.5,4.5e-06,1.3E-03,12434,S08E26,-8.0,-26.0,-419.5044393038843,-219.5471020050302,2015-10-17 12:39:00,12,2015-10-17
274,2758,2015-10-17 14:22:00,2015-10-17 14:29:00,2015-10-17 14:39:00,C,C1.8,1.8e-06,1.5E-03,12435,N10E83,10.0,-83.0,-941.3654013711492,154.8950751307254,2015-10-17 14:39:00,14,2015-10-17
275,2766,2015-10-19 13:36:00,2015-10-19 13:43:00,2015-10-19 13:59:00,C,C1.9,1.9e-06,1.8E-03,12434,S09E00,-9.0,0.0,0.0,-243.1654928965895,2015-10-19 13:59:00,13,2015-10-19
276,2767,2015-10-19 17:23:00,2015-10-19 17:27:00,2015-10-19 17:29:00,C,C3.9,3.9e-06,5.9E-04,12436,N08E55,8.0,-55.0,-783.3186721843667,80.75908660977515,2015-10-19 17:29:00,17,2015-10-19
277,2771,2015-10-21 11:51:00,2015-10-21 12:00:00,2015-10-21 12:07:00,C,C2.6,2.6e-06,1.7E-03,12436,N06E20,6.0,-20.0,-329.1895013686735,15.603684830409566,2015-10-21 12:07:00,12,2015-10-21
278,2801,2015-10-31 14:54:00,2015-10-31 15:02:00,2015-10-31 15:04:00,C,C5.2,5.2e-06,1.3E-03,12443,N06E55,6.0,-55.0,-789.2633167023305,57.90906727271811,2015-10-31 15:04:00,15,2015-10-31
279,2802,2015-10-31 15:48:00,2015-10-31 15:53:00,2015-10-31 16:03:00,C,C1.9,1.9e-06,1.2E-03,12443,N06E49,6.0,-49.0,-727.4591964313295,51.78004153248207,2015-10-31 16:03:00,15,2015-10-31
280,2811,2015-11-01 16:33:00,2015-11-01 16:43:00,2015-11-01 16:54:00,C,C5.0,5e-06,4.4E-03,12443,N05E39,5.0,-39.0,-608.1223871128168,27.19653889925197,2015-11-01 16:54:00,16,2015-11-01
281,2825,2015-11-04 11:55:00,2015-11-04 12:03:00,2015-11-04 12:06:00,M,M2.5,2.5e-05,7.3E-03,12445,N15W71,15.0,71.0,884.6739995379531,228.4440538999348,2015-11-04 12:06:00,12,2015-11-04
282,2826,2015-11-04 13:31:00,2015-11-04 13:52:00,2015-11-04 14:13:00,M,M3.7,3.7000000000000005e-05,5.9E-02,12443,N08W02,8.0,2.0,33.58223623596268,66.73125017144831,2015-11-04 14:13:00,13,2015-11-04
283,2860,2015-12-12 13:36:00,2015-12-12 13:46:00,2015-12-12 13:57:00,C,C7.8,7.8e-06,6.3E-03,12470,N11E81,11.0,-81.0,-945.2178906917106,187.40768713531247,2015-12-12 13:57:00,13,2015-12-12
284,2913,2016-01-28 11:48:00,2016-01-28 12:02:00,2016-01-28 12:16:00,C,C9.6,9.6e-06,8.9E-03,12488,N03W47,3.0,47.0,713.6747678926721,117.09770585862628,2016-01-28 12:16:00,12,2016-01-28
285,2933,2016-02-12 17:10:00,2016-02-12 17:21:00,2016-02-12 17:27:00,C,C6.8,6.799999999999999e-06,3.9E-03,12497,N11W18,11.0,18.0,296.0216386978908,291.14763918162816,2016-02-12 17:27:00,17,2016-02-12
286,2936,2016-02-13 15:16:00,2016-02-13 15:24:00,2016-02-13 15:26:00,M,M1.8,1.8e-05,4.3E-03,12497,N14W28,14.0,28.0,444.2875830187231,332.3790840847911,2016-02-13 15:26:00,15,2016-02-13
287,2944,2016-02-15 10:41:00,2016-02-15 11:00:00,2016-02-15 11:06:00,M,M1.1,1.1e-05,7.4E-03,12497,N11W54,11.0,54.0,773.2977069239885,251.21378041328043,2016-02-15 11:06:00,11,2016-02-15
288,2945,2016-02-15 14:40:00,2016-02-15 15:04:00,2016-02-15 15:13:00,C,C3.3,3.3e-06,4.7E-03,12497,N11W60,11.0,60.0,827.4277871111227,241.1988437028697,2016-02-15 15:13:00,15,2016-02-15
289,2946,2016-02-15 17:14:00,2016-02-15 17:23:00,2016-02-15 17:27:00,C,C2.5,2.5e-06,1.2E-03,12497,N11W57,11.0,57.0,801.4403215627029,246.3551086398452,2016-02-15 17:27:00,17,2016-02-15
290,2978,2016-04-06 09:57:00,2016-04-06 10:11:00,2016-04-06 10:30:00,C,C1.1,1.1e-06,1.6E-03,     ,S03W89,-3.0,89.0,957.0191992748285,-48.06223172022764,2016-04-06 10:30:00,10,2016-04-06
291,2979,2016-04-06 16:39:00,2016-04-06 16:52:00,2016-04-06 17:13:00,C,C1.4,1.4e-06,2.3E-03,12529,N08E88,8.0,-88.0,-948.4802814174908,136.17457838023168,2016-04-06 17:13:00,16,2016-04-06
292,2980,2016-04-07 11:06:00,2016-04-07 11:13:00,2016-04-07 11:21:00,C,C1.9,1.9e-06,1.3E-03,12529,N09E88,9.0,-88.0,-945.792685949942,152.56209182829986,2016-04-07 11:21:00,11,2016-04-07
293,2981,2016-04-08 16:31:00,2016-04-08 16:38:00,2016-04-08 16:45:00,C,C1.1,1.1e-06,7.1E-04,12529,N11E77,11.0,-77.0,-916.909897770034,204.2302470319306,2016-04-08 16:45:00,16,2016-04-08
294,2990,2016-04-14 13:21:00,2016-04-14 13:32:00,2016-04-14 13:44:00,C,C1.8,1.8e-06,1.8E-03,12529,N10W13,10.0,13.0,212.75468180109308,256.2969769740891,2016-04-14 13:44:00,13,2016-04-14
295,2992,2016-04-15 14:04:00,2016-04-15 14:30:00,2016-04-15 14:43:00,C,C4.1,4.1e-06,4.6E-03,12529,N13W17,13.0,17.0,273.4706375631718,301.3487396691026,2016-04-15 14:43:00,14,2016-04-15
296,2993,2016-04-16 14:30:00,2016-04-16 14:39:00,2016-04-16 14:53:00,C,C1.0,1e-06,1.1E-03,     ,N11W41,11.0,41.0,617.5074893519752,249.7417689492569,2016-04-16 14:53:00,14,2016-04-16
297,2995,2016-04-16 19:42:00,2016-04-16 19:58:00,2016-04-16 20:12:00,C,C5.8,5.8e-06,6.1E-03,12529,N11W44,11.0,44.0,653.694887543634,246.3161732414916,2016-04-16 20:12:00,19,2016-04-16
298,2996,2016-04-17 17:17:00,2016-04-17 17:30:00,2016-04-17 17:47:00,C,C2.4,2.4e-06,3.3E-03,12529,N10W56,10.0,56.0,781.9290911735511,214.9372398903461,2016-04-17 17:47:00,17,2016-04-17
299,2998,2016-04-28 12:46:00,2016-04-28 12:51:00,2016-04-28 12:54:00,C,C1.9,1.9e-06,5.0E-04,12535,N05E21,5.0,-21.0,-341.53233125898987,151.22105454289203,2016-04-28 12:54:00,12,2016-04-28
300,3004,2016-05-14 09:21:00,2016-05-14 09:31:00,2016-05-14 09:34:00,C,C2.5,2.5e-06,8.0E-04,12543,S06W55,-6.0,55.0,775.1635941291177,-73.72654036181603,2016-05-14 09:34:00,9,2016-05-14
301,3005,2016-05-14 11:28:00,2016-05-14 11:34:00,2016-05-14 11:37:00,C,C7.4,7.4e-06,1.6E-03,12543,S06W56,-6.0,56.0,784.4519325853377,-74.45556524213877,2016-05-14 11:37:00,11,2016-05-14
302,3006,2016-05-14 15:15:00,2016-05-14 15:19:00,2016-05-14 15:22:00,C,C4.8,4.8e-06,9.1E-04,12543,S06W59,-6.0,59.0,810.8776892224337,-76.55550844264847,2016-05-14 15:22:00,15,2016-05-14
303,3019,2016-06-09 12:28:00,2016-06-09 12:34:00,2016-06-09 12:37:00,C,C1.5,1.5e-06,5.0E-04,     ,N15W42,15.0,42.0,612.6882421340275,240.6624953441764,2016-06-09 12:37:00,12,2016-06-09
304,3023,2016-07-09 15:49:00,2016-07-09 16:07:00,2016-07-09 16:11:00,C,C2.6,2.6e-06,1.8E-03,12564,N12E73,12.0,-73.0,-883.7553220379632,177.98110082028225,2016-07-09 16:11:00,16,2016-07-09
305,3024,2016-07-15 15:07:00,2016-07-15 15:11:00,2016-07-15 15:14:00,C,C2.0,2e-06,4.7E-04,12567,N04E35,4.0,-35.0,-542.0193082552869,6.303184431438849,2016-07-15 15:14:00,15,2016-07-15
306,3031,2016-07-19 10:00:00,2016-07-19 11:53:00,2016-07-19 12:34:00,C,C2.2,2.2e-06,1.3E-02,12565,N02W22,2.0,22.0,354.9029412515161,-40.04360775399488,2016-07-19 12:34:00,11,2016-07-19
307,3033,2016-07-21 11:06:00,2016-07-21 11:19:00,2016-07-21 11:22:00,C,C7.2,7.2e-06,2.0E-03,12567,N02W48,2.0,48.0,703.3284137775161,-21.730436505400785,2016-07-21 11:22:00,11,2016-07-21
308,3034,2016-07-21 12:47:00,2016-07-21 12:55:00,2016-07-21 13:03:00,C,C9.1,9.1e-06,5.0E-03,12567,N03W49,3.0,49.0,713.6938256664786,-4.238229639899598,2016-07-21 13:03:00,12,2016-07-21
